date,time,code,title,room,location,hours
22/04/2024,9:00 A.M,ACCT1002,Introduction to Financial Accounting (AGARD - DAVIS),LR11,CLICO,2 hours
22/04/2024,9:00 A.M,ACCT1002,Introduction to Financial Accounting (DEFREITAS - HOLLOWAY),LR7,CLICO,2 hours
22/04/2024,9:00 A.M,ACCT1002,Introduction to Financial Accounting (HOWARD - PHILLIPS),LR8,CLICO,2 hours
22/04/2024,9:00 A.M,ACCT1002,Introduction to Financial Accounting (PILGRIM - YEARWOOD),LR9,CLICO,2 hours
22/04/2024,9:00 A.M,ACCT2015,Financial Accounting II (ALEXANDER - RAWLINS),LR14,SAGICOR,2 hours
22/04/2024,9:00 A.M,ACCT2015,Financial Accounting II (RAYMOND - YOUNG),LR13,SAGICOR,2 hours
22/04/2024,9:00 A.M,ACCT6010,Accounting for Managerial Decision Making,LR1&2,ROY MARSHALL,3 hours
22/04/2024,9:00 A.M,ACCT6026,Financial Reporting and Statement Analysis,LR1&2,ROY MARSHALL,3 hours
22/04/2024,9:00 A.M,APSY6020,Advanced Psychopathology,LR3,ROY MARSHALL,3 hours
22/04/2024,1:00 P.M.,CHIN1001,Chinese Language IA,MSR1&2,MANAGEMENT STUDIES,2 hours
22/04/2024,1:00 P.M.,CLTR1100,Culture & Identity,MSR1&2,MANAGEMENT STUDIES,2 hours
22/04/2024,9:00 A.M,COMP6370,Enterprise Information Systems,LR3,ROY MARSHALL,2 hours
22/04/2024,9:00 A.M,EDLE6003,"The Legal, Financial and Industrial Relations Environment of Educational Leadership",LR3,ROY MARSHALL,3 hours
22/04/2024,4:00 P.M.,EDMA2111,Structure and Nature of Maths,LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,ELET1200,Basic Circuit Analysis,S6,SOCIAL SCIENCES,2 hours
22/04/2024,9:00 A.M,GEMA6104,Accounting for Decision Making,LR1&2,ROY MARSHALL,3 hours
22/04/2024,4:00 P.M.,GOVT3015,International Politics and Political Economy,MSR1&2,MANAGEMENT STUDIES,2 hours
22/04/2024,1:00 P.M.,HESC3010,Technology Applications in Healthcare,LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,HIST1602,The Atlantic World 1600 - 1800,LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,HIST2302,"History of Africa, A.D. 1900",LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,HNDT3003,Medical Nutrition Therapy II,PLD,PHYSICS,2 hours
22/04/2024,1:00 P.M.,LAW1020,Constitutional Law (ABEL - LASHLEY),LR1&2,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,LAW1020,Constitutional Law (LAWRENCE - YARDE),LR3,ROY MARSHALL,2 hours
22/04/2024,9:00 A.M,LAW6200,The Management of Intellectual Property Assets,LR3,ROY MARSHALL,3 hours
22/04/2024,4:00 P.M.,LING2501,"Language, Gender and Sex",LR4,ROY MARSHALL,2 hours
22/04/2024,4:00 P.M.,MATH2321,Real Analysis 1,LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,MDSC1104,Introduction to Molecular Medicine,PLD,PHYSICS,2 hours
22/04/2024,9:00 A.M,MDSC2205,The Reproductive System,PLD,PHYSICS,2 hours
22/04/2024,4:00 P.M.,METE2210,Synoptic Meteorology,LR4,ROY MARSHALL,2 hours
22/04/2024,4:00 P.M.,MGMT2013,Introduction to International Business,LR1&2,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,MGMT3058,New Venture Management,LR4,ROY MARSHALL,2 hours
22/04/2024,1:00 P.M.,MUSC1010,Introduction to Critical Listening,TSR8,SAGICOR,2 hours
