date,time,code,title,hours,location,room
22/04/2024,9:00 A.M,ACCT6010,"Accounting for Managerial
Decision Making",3 HRS,-,-
22/04/2024,9:00 A.M,ACCT6026,"Financial Reporting and
Statement Analysis",3HRS,-,-
22/04/2024,9:00 A.M,APSY6020,Advanced Psychopathology,3 HRS,-,-
22/04/2024,9:00 A.M,COMP6370,Enterprise Information Systems,2 HRS,-,-
22/04/2024,9:00 A.M,EDLE6003,"The Legal, Financial and
Industrial Relations Environment
of Educational Leadership",3 HRS,-,-
22/04/2024,9:00 A.M,GEMA6104,Accounting for Decision Making,3 HRS,-,-
22/04/2024,9:00 A.M,LAW6200,"The Management of Intellectual
Property Assets",3 HRS,-,-
22/04/2024,9:00 A.M,PTMT6009,"Social and Environment Impact
Assessment",3 HRS,-,-
22/04/2024,9:00 A.M,SBCO6211,"Finance and Management
Accounting",3 HRS,-,-
22/04/2024,9:00 A.M,ACCT1002,"Introduction to Financial
Accounting",2 HRS,-,-
22/04/2024,9:00 A.M,ACCT2015,Financial Accounting II,2 HRS,-,-
22/04/2024,9:00 A.M,MDSC2205,The Reproductive System,2 HRS,-,-
22/04/2024,9:00 A.M.,SWEN1001,"An Introduction to Object Oriented
Programming",2 HRS,-,-
22/04/2024,9:00 A.M,THEO3325,Systematic Theology III,2 HRS,-,-
22/04/2024,1:00 P.M.,CHIN1001,Chinese Language IA,2 HRS,-,-
22/04/2024,1:00 P.M.,CLTR1100,Culture & Identity,2 HRS,-,-
22/04/2024,1:00 P.M.,ELET1200,Basic Circuit Analysis,2 HRS,-,-
22/04/2024,1:00 P.M.,HESC3010,"Technology Applications in
Healthcare",2 HRS,-,-
22/04/2024,1:00 P.M.,HIST1602,The Atlantic World 1600 - 1800,2 HRS,-,-
22/04/2024,1:00 P.M.,HIST2302,"History of Africa, A.D. 1900",2 HRS,-,-
22/04/2024,1:00 P.M.,HNDT3003,Medical Nutrition Therapy II,2 HRS,-,-
22/04/2024,1:00 P.M.,LAW1020,Constitutional Law,2 HRS,-,-
22/04/2024,1:00 P.M.,MDSC1104,Introduction to Molecular Medicine,2 HRS,-,-
22/04/2024,1:00 P.M.,MGMT3058,New Venture Management,2 HRS,-,-
22/04/2024,1:00 P.M.,MUSC1010,Introduction to Critical Listening,2 HRS,-,-
22/04/2024,1:00 P.M.,PHIL3120,Biomedical Ethics,2 HRS,-,-
22/04/2024,4:00 P.M.,EDMA2111,Structure and Nature of Maths,2 HRS,-,-
22/04/2024,4:00 P.M.,GOVT3015,"International Politics and Political
Economy",2 HRS,-,-
22/04/2024,4:00 P.M.,LING2501,"Language, Gender and Sex",2 HRS,-,-
22/04/2024,4:00 P.M.,MATH2321,Real Analysis 1,2 HRS,-,-
22/04/2024,4:00 P.M.,METE2210,Synoptic Meteorology,2 HRS,-,-
22/04/2024,4:00 P.M.,MGMT2013,"Introduction to International
Business",2 HRS,-,-
22/04/2024,4:00 P.M.,PHIL3500,Philosophy and Gender,2 HRS,-,-
23/04/2024,9:00 A.M,EDSC6010,"Issues in Science and Technology
Education",3 HRS,-,-
23/04/2024,9:00 A.M,LAW6204,"International Intellectual
Property",3 HRS,-,-
23/04/2024,9:00 A.M.,MKTG6010,Consumer Behaviour,3 HRS,-,-
23/04/2024,9:00 A.M,BIOC2371,Molecular Techniques,2 HRS,-,-
23/04/2024,9:00 A.M,COMP2220,Computer System Architecture,2 HRS,-,-
23/04/2024,9:00 A.M,ECON3008,History of Economic Thought,2 HRS,-,-
23/04/2024,9:00 A.M,EDFA1024,"The Social Foundations of
Education",2 HRS,-,-
23/04/2024,9:00 A.M,ENSC3001,Natural Hazards and Disasters,2 HRS,-,-
23/04/2024,9:00 A.M,INRL1000,"Introduction to International
Relations",2 HRS,-,-
23/04/2024,9:00 A.M,LAW3220,"Family Law II - Law Relating to
Children",2 HRS,-,-
23/04/2024,9:00 A.M,LING1002,"Introduction to Morphology and
Syntax",2 HRS,-,-
23/04/2024,9:00 A.M,SWEN2002,"An Introduction to the Analysis of
Algorithms",2 HRS,-,-
23/04/2024,9:00 A.M,THEO3213,Other Sacramental Rights,2 HRS,-,-
23/04/2024,1:00 P.M.,BIOL1030,Introduction to Genetics,2 HRS,-,-
23/04/2024,1:00 P.M.,CLTR3102,Exhibiting Cultures,2HRS,-,-
23/04/2024,1:00 P.M.,MUSC1020,"Caribbean Popular Music and
Society",2 HRS,-,-
23/04/2024,1:00 P.M.,PHYS1220,"Physics IV: Magnetism,
Electromagnetic Waves & Optics",2 HRS,-,-
23/04/2024,4:00 P.M.,ECON2003,Intermediate Macro-Economics II,2 HRS,-,-
23/04/2024,4:00 P.M.,GEND2005,Crimes by and Against Women,2 HRS,-,-
23/04/2024,4:00 P.M.,HESC2000,"Structure and Function II - Organ
Systems",2 HRS,-,-
23/04/2024,4:00 P.M.,METE1135,"Introduction to Dynamic
Meteorology",2 HRS,-,-
23/04/2024,4:00 P.M.,MGMT3096,Taxation and Tax Management,2 HRS,-,-
23/04/2024,4:00 P.M.,PHIL2210,"Human Nature and the Good Life
in Society",2 HRS,-,-
23/04/2024,4:00 P.M.,SOCI1005,"Introductory Statistics for the
Behavioural Sciences",2 HRS,-,-
24/04/2024,9:00 A.M,EDPS6302,Social Psychology of Education,3 HRS,-,-
24/04/2024,9:00 A.M,LAER6001,"Employment Relations in a
Global Environment",3 HRS,-,-
24/04/2024,9:00 A.M,MGMT6901,"Research Methods for Business and
Social Sciences",3 HRS,-,-
24/04/2024,9:00 A.M,ACCT1003,"Introduction to Cost and
Management Accounting",2 HRS,-,-
24/04/2024,9:00 A.M,BIOL2371,Ecophysiology of Animals,2 HRS,-,-
24/04/2024,9:00 A.M,EDPS1005,"Introduction to Educational
Psychology",2 HRS,-,-
24/04/2024,9:00 A.M,MATH1152,Sets and Number Systems,2 HRS,-,-
24/04/2024,9:00 A.M,MDSC1205,The Respiratory System,2 HRS,-,-
24/04/2024,9:00 A.M,SPSC3008,"Strategic Management in Sport
Organisation",2 HRS,-,-
24/04/2024,9:00 A.M,SWEN1003,"Current and Future Trends in
Computing for Software Engineers",2 HRS,-,-
24/04/2024,1:00 P.M.,EDSE3100,Working with Exceptional Learners,2 HRS,-,-
24/04/2024,1:00 P.M.,FREN3003,Introduction to Business French,2 HRS,-,-
24/04/2024,1:00 P.M.,LAW1120,Criminal Law II,2 HRS,-,-
